text,Label
"Regardless of the state and politics, how does Saudi Arabia send an athlete at this disappointing level?",1
"The Saudi girl is young and she was subjected to great media, political and religious pressure,, very few experienced people who can overcome this pressure, and the girl is still young at the beginning of her career and this is her first test and she will develop with time.",0
"fuck her, and everything supports such a thing, and everything supports such things, which are innocent of Islam.",1
"If she withdrew, she would have left, at least with her dignity",0
Thank God she was defeated and lost the contest,0
"How dare she plays with a Zionism player, if she withdraws, would be the best.  The result would have been known in advance. What a pride. Shame on her playing with uncovered hair and pants in the era of decadence, if you are not ashamed, do what you want",1
Far from normalization and surrender to Israel..... the Israeli player was manipulating her as if she was... a doll... paralyzed... an inflated airbag.... The match is humiliating and the result is scandalous,1
"Girl, your level is very weak. Why do you compete with Zionism stronger than you? you even did not win an honorable position, or not even in sports??",1
"If she refused to play with Zionism, it would have been more honorable to her than this scandal",1
Loser,1
My message to Tahani Al-Qahtani..lose weight.  Pray rather than play. Pray and ask forgiveness and stay in the kitchen..Take care of your studies..Leave sports to its people. The entire Saudi players are failures and embarrassed us with a shameful appearance..,1
"Haha, she failed herself and took off her hijab. The last thing was her face smashed by the Jewish player. feel sad about  the millions who spend on these people ",1
"not only, she normalized with Israel, but she also removed the hejab. Akhkhkh shame Akhkhkh",1
 shame  in all areas and that's it only,1
She lost twice: once because she accepted to play with Israel player  and once in the arena,1
God humiliated her and she  humiliated his country,1
"We are not proud of those who removed their hijab and chastity, women who lost their modesty and were trampled on by a Jew, O God, do not gloat, with the black of the face.",1
The poor woman removed her hijab for nothing and lost.,1
"I hope she withdrew, this is embarrassing frankly, ""I don't see a player who plays in this tournament, this is how they play in the streets.""",1
"She was wearing a hijab, then took off her hijab and played a game with the player of the Zionist entity and lost 11-0. This is the fate of those who sell their religion for the sake of this world",1
Poor participation.. in the Olympics.. indicates the lack of seriousness in the first place in appearing in an honorable manner for the country..,0
"If she withdrew, it would have been more honorable for her, but the one who is humiliated is humiliated",1
failed level. she failed us God fails her forever.,1
is who faced a Zionism man or a girl ?,1
This is the benefit of fast food 😂😂😂😂..,0
"She took off her hijab and took off her believes, so God insulted her with those who sent her",1
"I mean, you did not beat the Zionist and cheer up our hearts And you did not withdraw and come out with pride#Tahani_Al-QahtaniTo the darkest day of history..",1
"A scandal..normalization..a loss of employment..In addition to all of this, it took severe beatings and a humiliating loss..you deserve it",1
"Normalization, ruthlessness, and on top of that the loss",1
"if she withdrew would be better for her, gain the satisfaction of God and then the satisfaction of the Arab peoples",0
"Tahani the camel deserves to lose, unless she is forced by the normalization of relations with israel. May God forgive her because she has not only lost this match, but has tarnished the honor of every Saudi and Saudi by removing her hijab, Who are you?",1
If she helps her mother in the kitchen would be better for her than this defeat,1
"She lost her religion and honor, and she insulted  by both Arabs and Jews",1
"You didn't withdraw with honor, so you lost with humiliation ",1
"She takes off the hejab  and dyes her hair from the color of goats to the color of guinea pigs, and Zionism crushes her . she is  is air(nothing ) in front of the Zionists. If you face your enemy, you either crush him and be an Olympic champion or withdraw and be a national hero. Her tears mean nothing but sorry for the shame. Go to hell",1
Selling honor is cheaper than buying it,0
"The hardest thing in the matter is Tahani became the embodiment of humiliation, shame and athletic weakness 11-0... She was weak in the fight, so she lost athletically and lost the honor of a homeland.. She accepted that Zionism gave up and humiliated herself and put the flag of her country side by side with the flag of the Zionists, so she lost the honor of a nation and Manasra lost a human cause, and in the end, I do not know which water or which sanitizer this will cleanse her hands, which shook hands with the representative of the criminal Zionists, the killers of children, the germ that will destroy peace on earth to please and in the hope of sending their savior to rule the world...hell to the Arabs from an evil that has approached",1
You like normalization with israel like Tahani. you feel sympathize with her it is humiliation,1
The men quit because they knew they were gonna lose.  Rather than going out fighting they went out on their knees as cowards.  Good to see the Saudi Arabian judoka not quit.,0
You really think world class athletes would forfeit a match after intense training and preparation because they were scared?? They made sacrifices for cause much bigger than sport. No athlete wants to have to forfeit a match. But it’s the right thing to do.,0
"coming is more beautiful and strong, God willing",0
you did your best ,0
we are proud of you Tahani,0
"It is enough for us to be proud of trying,,,",0
"The young heroine, Tahani Al-Qahtani, is 21 years old. We say congratulations on confrontational courage. Heroes are born in such conditions. Waiting for honorable results in the next Paris Olympics.",0
"The promise is at of Paris, TOTE, my sweet, you honored us by trying, my hero",0
"She didn't fall short, and God willing, she will make up for it next time. Her competition is not easy",0
"Hard luck and the next is more beautiful, God willing",0
"This is the first step, and the next one is better",0
"we are proud of you. You represented your country with all the honor and courage .  You did not follow the path of withdrawal like others. We wish you success and success in the rest of your career, a white heart, a white heart, the flag of Saudi Arabia.",0
"God willing, the upcoming courses will honor us and raise the name of our country and participants. We are proud that they continued and did not withdraw like others. Honor is the attempt, not fear and withdrawal.",0
"In order to find Olympic champions, we must first be aware of the hours of training for the first-level teams. The time of talented people in various sports must be freed up and the number of training hours should be increased for them with special programs.",0
"In order to find heroes, we need to prepare for it and prepare for it in advance not right away before participating",0
"All the best, sports are either win or  lose And we are proud of your participation",0
"Good luck,Tahani  , it's better to forget this match, and even if you lose, it is enough for the honor to try",0
"Good luck Tahani .. Your participation is certainly honorable and there is no doubt about that.. Three years of sports that means  you are still in the beginning and you have a long sports career ahead, and God willing, it will be full of successes and achievements.",0
"She is still at the beginning of her sports career, and in her participation, she did her best. The road ahead is long for improvement and development, God willing.",0
"God willing, in the 2024 Paris Olympics, you will train more and win.",0
It is ok the best will coming soon. The only positive thing about this Olympics was shown by the Saudi public and it ignites enthusiasm and hope for the upcoming participation. It is a project of a new generation and diversity in sports.,0
"I said it and I say it again, I mean the amount of pressure on a novice athlete that even a professional who has years of experience can't bear, so how about Tahani who just started? The important thing here is that you were encouraged and did not succumb to any pressures and complimented you with your participation and the loss is possible even for the most powerful professionals and the future is in front of you. Do not give up, proud of you",0
"You did your best Tahani. The presence of Saudi women is very important, and this is only the beginning. Congratulations, ",0
